Time,S_H,E_H,E_TH,E_NT,I_H,I_QH,D_H
331,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
332,0.7619,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
333,0.762,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
334,0.762,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
335,0.762,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
336,0.762,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
337,0.762,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
338,0.762,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
339,0.762,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
340,0.762,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
341,0.762,0.0113,0.001,0.1264,0.0172,0.0038,0.0023
342,0.762,0.0113,0.001,0.1264,0.0172,0.0038,0.0022
343,0.762,0.0113,0.001,0.1264,0.0172,0.0038,0.0022
344,0.762,0.0113,0.001,0.1264,0.0172,0.0038,0.0022
345,0.762,0.0113,0.001,0.1264,0.0172,0.0038,0.0022
346,0.762,0.0113,0.001,0.1264,0.0172,0.0038,0.0022
347,0.762,0.0113,0.001,0.1264,0.0172,0.0038,0.0022
348,0.762,0.0113,0.001,0.1264,0.0172,0.0038,0.0022
349,0.762,0.0113,0.001,0.1264,0.0172,0.0038,0.0022
350,0.762,0.0113,0.001,0.1264,0.0172,0.0038,0.0022
351,0.762,0.0113,0.001,0.1264,0.0172,0.0038,0.0022
352,0.762,0.0113,0.001,0.1264,0.0172,0.0038,0.0022
